cycle,event,id,type,temporal_reference,bank,hold_total
268765547,READY,108,1,2,2,83888431
270177964,DISPLAY,105,2,11,1,83888432
270918840,READY,109,3,0,2,83888432
270918843,START,110,3,1,-1,83888433
273032425,READY,110,3,1,3,83888433
273032427,START,111,2,3,-1,83888433
273182871,DISPLAY,109,3,0,2,83888433
275184871,DISPLAY,110,3,1,3,83888433
275486084,READY,111,2,3,0,83888433
275486085,START,112,2,4,-1,83888433
278021190,READY,112,2,4,1,83888433
278185964,START,113,2,5,-1,84053206
278185964,DISPLAY,108,1,2,2,84053206
280187964,DISPLAY,111,2,3,0,86055205
282766961,READY,113,2,5,2,86055205
282766962,START,114,2,8,-1,86055205
283192871,DISPLAY,112,2,4,1,86481113
285194871,DISPLAY,113,2,5,2,86481113
285929642,READY,114,2,8,0,86481113
285929643,START,115,3,6,-1,86481113
288023577,READY,115,3,6,2,86481113
288023579,START,116,3,7,-1,86481113
288195964,DISPLAY,115,3,6,2,86481113
290096234,READY,116,3,7,3,86481113
290096236,START,117,2,11,-1,86481113
290197964,DISPLAY,116,3,7,3,86481113
292901973,READY,117,2,11,1,86481113
292901974,START,118,3,9,-1,86481113
293202871,DISPLAY,114,2,8,0,86481113
295006824,READY,118,3,9,2,86481113
295006827,START,119,3,10,-1,86481114
295204871,DISPLAY,118,3,9,2,86481114
297076946,READY,119,3,10,3,86481114
297077108,START,120,1,2,-1,86481114
298205964,DISPLAY,119,3,10,3,86481114
299415974,START,121,3,0,-1,86481114
299415975,READY,120,1,2,2,86481114
300207964,DISPLAY,117,2,11,1,86481115
301598233,READY,121,3,0,2,86481115
301598236,START,122,3,1,-1,86481116
303212871,DISPLAY,121,3,0,2,86481116
303689681,READY,122,3,1,3,86481116
303689683,START,123,2,5,-1,86481116
305214871,DISPLAY,122,3,1,3,86481116
306306973,READY,123,2,5,0,86481116
306306974,START,124,3,3,-1,86481116
308215964,DISPLAY,120,1,2,2,86481116
308283240,READY,124,3,3,2,86481116
308283243,START,125,3,4,-1,86481117
310217964,DISPLAY,124,3,3,2,86481117
310268953,READY,125,3,4,3,86481117
310268955,START,126,2,8,-1,86481117
312954438,READY,126,2,8,1,86481117
313222871,START,127,3,6,-1,86749549
313222871,DISPLAY,125,3,4,3,86749549
315224871,DISPLAY,123,2,5,0,86749549
315229136,READY,127,3,6,2,86749549
315229139,START,128,3,7,-1,86749550
317241369,READY,128,3,7,3,86749550
317241371,START,129,2,11,-1,86749550
318225964,DISPLAY,127,3,6,2,86749550
320019101,READY,129,2,11,2,86749550
320227965,START,130,3,9,-1,86958413
320227965,DISPLAY,128,3,7,3,86958413
322326205,READY,130,3,9,2,86958413
323232871,DISPLAY,126,2,8,1,87865077
323232872,START,131,3,10,-1,87865078
325234871,DISPLAY,130,3,9,2,87865078
325370142,READY,131,3,10,3,87865078
325370304,START,132,1,2,-1,87865078
327653012,START,133,3,0,-1,87865078
327653013,READY,132,1,2,0,87865078
328235965,DISPLAY,131,3,10,3,88448030
330146500,READY,133,3,0,2,88448031
330237965,DISPLAY,129,2,11,2,88539494
330237966,START,134,3,1,-1,88539495
332058649,READY,134,3,1,3,88539495
332058651,START,135,2,5,-1,88539495
333242871,DISPLAY,133,3,0,2,88539495
334757246,READY,135,2,5,1,88539495
335244871,START,136,3,3,-1,89027119
335244871,DISPLAY,134,3,1,3,89027119
337175321,READY,136,3,3,2,89027119
338245965,DISPLAY,132,1,2,0,90097761
338245966,START,137,3,4,-1,90097762
340237593,READY,137,3,4,3,90097762
340237595,START,138,2,8,-1,90097762
340247965,DISPLAY,136,3,3,2,90097762
343082353,READY,138,2,8,2,90097762
343252871,START,139,3,6,-1,90268279
343252871,DISPLAY,137,3,4,3,90268279
345254871,DISPLAY,135,2,5,1,90268279
345398760,READY,139,3,6,2,90268279
345398763,START,140,3,7,-1,90268280
347565477,READY,140,3,7,3,90268280
347565479,START,141,2,11,-1,90268280
348255965,DISPLAY,139,3,6,2,90268280
350257965,DISPLAY,140,3,7,3,90268280
350467452,READY,141,2,11,0,90268280
350467453,START,142,3,9,-1,90268280
352715192,READY,142,3,9,2,90268280
353262872,DISPLAY,138,2,8,2,90815958
353262873,START,143,3,10,-1,90815959
355264872,DISPLAY,142,3,9,2,90815959
355507128,READY,143,3,10,3,90815959
355507290,START,144,1,2,-1,90815959
357872224,START,145,3,0,-1,90815959
357872225,READY,144,1,2,1,90815959
358265965,DISPLAY,143,3,10,3,91209699
360267965,DISPLAY,141,2,11,0,91209700
360544025,READY,145,3,0,2,91209700
360544028,START,146,3,1,-1,91209701
362779752,READY,146,3,1,3,91209701
362779754,START,147,2,5,-1,91209701
363272872,DISPLAY,145,3,0,2,91209701
365274872,DISPLAY,146,3,1,3,91209701
365397159,READY,147,2,5,2,91209701
365397160,START,148,3,3,-1,91209701
367486497,READY,148,3,3,2,91209701
368275965,DISPLAY,144,1,2,1,91999167
368275966,START,149,3,4,-1,91999168
370277965,DISPLAY,148,3,3,2,91999168
370324944,READY,149,3,4,3,91999168
370324946,START,150,2,8,-1,91999168
373002666,READY,150,2,8,0,91999168
373282872,START,151,3,6,-1,92279373
373282872,DISPLAY,149,3,4,3,92279373
375269927,READY,151,3,6,2,92279373
375284872,DISPLAY,147,2,5,2,92294316
375284873,START,152,3,7,-1,92294317
377272272,READY,152,3,7,3,92294317
377272274,START,153,2,11,-1,92294317
378285965,DISPLAY,151,3,6,2,92294317
379975336,READY,153,2,11,1,92294317
380287965,START,154,3,9,-1,92606945
380287965,DISPLAY,152,3,7,3,92606945
382229693,READY,154,3,9,2,92606945
383292872,DISPLAY,150,2,8,0,93670122
383292873,START,155,3,10,-1,93670123
385276036,READY,155,3,10,3,93670123
385276198,START,156,1,2,-1,93670123
385294872,DISPLAY,154,3,9,2,93670123
387578230,START,157,3,0,-1,93670123
387578231,READY,156,1,2,2,93670123
388295965,DISPLAY,155,3,10,3,94387857
390257768,READY,157,3,0,2,94387858
390297965,DISPLAY,153,2,11,1,94428053
390297966,START,158,3,1,-1,94428054
392172313,READY,158,3,1,3,94428054
392172315,START,159,2,5,-1,94428054
393302872,DISPLAY,157,3,0,2,94428054
394801476,READY,159,2,5,0,94428054
395304872,START,160,3,3,-1,94931449
395304872,DISPLAY,158,3,1,3,94931449
397183416,READY,160,3,3,2,94931449
398305965,DISPLAY,156,1,2,2,96053996
398305966,START,161,3,4,-1,96053997
400220801,READY,161,3,4,3,96053997
400220803,START,162,2,8,-1,96053997
400307965,DISPLAY,160,3,3,2,96053997
402953186,READY,162,2,8,1,96053997
403312872,START,163,3,6,-1,96413682
403312872,DISPLAY,161,3,4,3,96413682
405314872,DISPLAY,159,2,5,0,96413682
405316816,READY,163,3,6,2,96413682
405316819,START,164,3,7,-1,96413683
407375129,READY,164,3,7,3,96413683
407375131,START,165,2,11,-1,96413683
408315966,DISPLAY,163,3,6,2,96413683
410199498,READY,165,2,11,2,96413683
410317966,START,166,3,9,-1,96532150
410317966,DISPLAY,164,3,7,3,96532150
412427886,READY,166,3,9,2,96532150
413322872,DISPLAY,162,2,8,1,97427134
