cycle,event,id,field,byte,selected_id,candidate_id,candidate_ready,cadence_slot,pts_active,pts_due,stc,display_pts,display_pts_valid,tff,rff,present,generation,decoder_wait,presentation_wait,destination_wait,writer_wait,state,decoder_ready,cache_ready,prefill_miss,phase_error,overlap_error
59967962,START,26,59,31382,21,25,1,0,1,0,137954,93047,0,0,1,1,24,22743360,37193221,0,1346177,1610613361,1,0,0,0,0
60055667,PUBLISH,21,59,31464,21,25,1,0,1,0,138086,93047,0,0,1,1,24,22830982,37193221,0,1348570,1610613877,0,1,0,0,0
60694505,READY,26,59,31776,21,25,1,0,1,1,139044,93047,0,0,1,1,24,23469508,37193221,0,1398186,1610613877,0,1,0,0,0
60694507,START,27,59,31778,21,25,1,0,1,1,139044,93047,0,0,1,1,24,23469509,37193221,0,1398186,1610613881,1,1,0,0,0
60970867,FIELD,21,59,31932,21,25,1,0,1,1,139459,93047,0,0,1,1,24,23745714,37193221,0,1418393,1610615931,0,1,0,0,0
61574457,READY,27,60,35357,21,25,1,0,1,1,140364,93047,0,0,1,1,24,24345880,37193221,0,1457837,1610615931,1,1,0,0,0
61969960,FIELD,21,60,35357,21,25,1,0,1,1,140957,93047,0,0,1,1,24,24345880,37588723,0,1457837,1677726843,1,1,0,0,0
62972867,FIELD,21,61,35357,21,25,1,1,1,1,142462,93047,0,0,1,1,24,24345880,38591630,0,1457837,1677726843,1,1,0,0,0
62972868,SELECT,25,62,35357,25,26,1,0,0,0,142462,138092,1,1,0,1,24,24345880,38591631,0,1457837,1677727051,1,1,0,0,0
63056760,PUBLISH,25,62,35357,25,26,1,0,0,0,142588,138092,1,1,0,1,25,24345880,38675523,0,1457837,1677727051,1,1,0,0,0
63971960,FIELD,25,62,35357,25,26,1,0,0,0,143960,138092,1,1,0,1,25,24345880,39590723,0,1457837,1677727051,1,1,0,0,0
64974867,FIELD,25,63,35357,25,26,1,1,0,0,145465,138092,1,1,0,1,25,24345880,40593630,0,1457837,1677727051,1,1,0,0,0
64974868,START,28,64,35358,26,24,1,0,0,0,145465,138092,0,1,1,1,25,24345880,40593631,0,1457837,1677727075,1,1,0,0,0
64974868,SELECT,26,64,35358,26,24,1,0,0,0,145465,138092,0,1,1,1,25,24345880,40593631,0,1457837,1677727075,1,1,0,0,0
65058760,PUBLISH,26,64,35440,26,24,1,0,0,0,145591,138092,0,1,1,1,26,24429689,40593631,0,1460166,1628743011,0,1,0,0,0
65701992,READY,28,64,35820,26,24,1,0,0,0,146555,138092,0,1,1,1,26,25072541,40593631,0,1510439,1628743011,0,1,0,0,0
65973960,FIELD,26,64,35821,26,24,1,0,0,0,146963,138092,0,1,1,1,26,25072542,40865597,0,1510439,1628841315,1,1,0,0,0
66976867,FIELD,26,65,35821,26,24,1,0,0,0,148468,138092,0,1,1,1,26,25072542,41868504,0,1510439,1628841315,1,1,0,0,0
67975960,FIELD,26,66,35821,26,24,1,0,0,0,149966,138092,0,1,1,1,26,25072542,42867597,0,1510439,1628841315,1,1,0,0,0
68978867,FIELD,26,67,35821,26,24,1,1,0,0,151471,138092,0,1,1,1,26,25072542,43870504,0,1510439,1628841315,1,1,0,0,0
68978868,SELECT,24,68,35821,24,27,0,0,0,0,151471,93047,0,1,1,1,26,25072542,43870505,0,1510439,1662395683,1,1,0,0,0
68978869,START,29,68,35822,24,28,1,0,0,0,151471,93047,0,1,1,1,27,25072542,43870506,0,1510439,1610613361,1,0,0,0,0
