cycle,event,id,field,byte,selected_id,candidate_id,candidate_ready,cadence_slot,pts_active,pts_due,stc,display_pts,display_pts_valid,tff,rff,present,generation,decoder_wait,presentation_wait,destination_wait,writer_wait,state,decoder_ready,cache_ready,prefill_miss,phase_error,overlap_error
39947960,FIELD,12,38,21533,12,16,1,1,0,0,107924,55511,0,0,0,1,15,15112459,24813968,0,453935,1677726843,1,1,0,0,0
39947961,SELECT,16,39,21533,16,17,1,0,0,0,107924,93047,0,0,1,1,15,15112459,24813969,0,453935,1677727051,1,1,0,0,0
40035667,PUBLISH,16,39,21533,16,17,1,0,0,0,108056,93047,0,0,1,1,16,15112459,24901675,0,453935,1677727051,1,1,0,0,0
40950867,FIELD,16,39,21533,16,17,1,0,0,0,109429,93047,0,0,1,1,16,15112459,25816875,0,453935,1677727051,1,1,0,0,0
41949960,FIELD,16,40,21533,16,17,1,0,0,0,110927,93047,0,0,1,1,16,15112459,26815968,0,453935,1677727051,1,1,0,0,0
42952867,FIELD,16,41,21533,16,17,1,1,0,0,112432,93047,0,0,1,1,16,15112459,27818875,0,453935,1677727051,1,1,0,0,0
42952868,START,19,42,21534,17,15,1,0,0,0,112432,93047,0,1,0,1,16,15112459,27818876,0,453935,1677727075,1,1,0,0,0
42952868,SELECT,17,42,21534,17,15,1,0,0,0,112432,93047,0,1,0,1,16,15112459,27818876,0,453935,1677727075,1,1,0,0,0
43036760,PUBLISH,17,42,21616,17,15,1,0,0,0,112558,93047,0,1,0,1,17,15196268,27818876,0,453999,1628743011,0,1,0,0,0
43635358,READY,19,42,21916,17,15,1,0,0,0,113456,93047,0,1,0,1,17,15794566,27818876,0,482713,1628743011,0,1,0,0,0
43951960,FIELD,17,42,21917,17,15,1,0,0,0,113930,93047,0,1,0,1,17,15794567,28135476,0,482713,1628841315,1,1,0,0,0
44954867,FIELD,17,43,21917,17,15,1,1,0,0,115435,93047,0,1,0,1,17,15794567,29138383,0,482713,1628841315,1,1,0,0,0
